City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,10.09,71,0,2.57,CA,1719747046
1,puerto natales,-51.7236,-72.4875,4.0,83,99,5.27,CL,1719747048
2,edinburgh of the seven seas,-37.0676,-12.3116,15.13,97,100,8.13,SH,1719747050
3,tiksi,71.6872,128.8694,8.58,54,34,1.66,RU,1719747052
4,colby,39.3958,-101.0524,15.56,80,0,5.14,US,1719747054
5,hermanus,-34.4187,19.2345,21.56,47,6,0.61,ZA,1719747056
6,tayshet,55.9342,98.0044,31.43,38,2,2.24,RU,1719747058
7,saint-francois,46.4154,3.9054,17.04,88,75,5.14,FR,1719747061
8,papatowai,-46.5619,169.4708,8.19,79,100,2.28,NZ,1719747063
9,cutral-co,-38.9469,-69.2089,6.11,29,51,4.54,AR,1719747065
10,bredasdorp,-34.5322,20.0403,20.12,49,33,2.46,ZA,1719747067
11,minas de marcona,-15.2119,-75.1103,10.89,90,40,3.4,PE,1719747069
12,aasiaat,68.7098,-52.8699,2.49,96,100,0.95,GL,1719747071
13,marka,1.7159,44.7717,27.88,68,35,9.85,SO,1719747073
14,salinopolis,-0.6136,-47.3561,27.52,85,38,4.27,BR,1719747074
15,afaahiti,-17.75,-149.2833,24.93,78,13,11.69,PF,1719747076
16,port mathurin,-19.6833,63.4167,23.0,77,54,11.69,MU,1719747078
17,kailua-kona,19.6406,-155.9956,23.98,78,0,2.06,US,1719747080
18,college,64.8569,-147.8028,18.78,69,100,0.0,US,1719747082
19,saint-joseph,-21.3667,55.6167,24.21,66,67,1.7,RE,1719747084
20,ulladulla,-35.35,150.4667,8.34,79,62,5.79,AU,1719747085
21,bracebridge,45.0334,-79.3163,14.93,94,100,3.6,CA,1719747087
22,broken hill,-31.95,141.4333,6.56,59,5,4.21,AU,1719747031
23,susuman,62.7833,148.1667,10.37,61,100,3.09,RU,1719747091
24,isoka,-10.1606,32.6335,26.18,26,9,2.84,ZM,1719747092
25,queenstown,-31.8976,26.8753,19.27,38,55,9.44,ZA,1719747094
26,avarua,-21.2078,-159.775,25.03,83,75,6.17,CK,1719746809
27,ushuaia,-54.8,-68.3,1.81,69,75,6.17,AR,1719747098
28,ghadamis,30.1337,9.5007,43.13,8,0,2.08,LY,1719747101
29,tver,56.8619,35.8931,25.12,71,25,1.2,RU,1719747102
30,rio grande,-32.035,-52.0986,4.06,74,39,6.03,BR,1719747104
31,wailua homesteads,22.0669,-159.378,23.75,83,100,7.2,US,1719747107
32,figuig (centre),32.1089,-1.2286,40.95,6,0,9.04,MA,1719747109
33,blackmans bay,-43.0167,147.3167,5.07,88,93,0.45,AU,1719747111
34,vadso,70.0744,29.7487,9.49,93,75,7.2,NO,1719747113
35,adamstown,-25.066,-130.1015,19.05,54,100,10.92,PN,1719747115
36,utrik,11.2278,169.8474,27.93,79,100,7.45,MH,1719747117
37,qaqortoq,60.7167,-46.0333,0.23,94,26,1.1,GL,1719747119
38,port-aux-francais,-49.35,70.2167,2.26,99,100,13.59,TF,1719747121
39,la manga del mar menor,37.6413,-0.7165,31.23,61,0,3.09,ES,1719747123
40,mukalla,14.5425,49.1242,37.2,42,73,12.54,YE,1719747125
41,caldas das taipas,41.4847,-8.3485,19.41,82,100,1.79,PT,1719747127
42,port alfred,-33.5906,26.891,20.1,76,53,1.34,ZA,1719747130
43,touros,-5.1989,-35.4608,26.69,75,66,5.04,BR,1719747132
44,hawaiian paradise park,19.5933,-154.9731,20.73,82,40,2.57,US,1719747134
45,yellowknife,62.456,-114.3525,14.67,79,40,1.54,CA,1719747136
46,nantucket,41.2835,-70.0995,22.78,96,100,9.71,US,1719747139
47,kilindoni,-7.9139,39.6668,25.97,73,59,7.09,TZ,1719747141
48,san antonio de pale,-1.4014,5.6325,23.96,81,38,5.77,GQ,1719747143
49,neiafu,-18.65,-173.9833,24.27,83,44,5.79,TO,1719747145
50,alma,48.5501,-71.6491,18.56,94,76,2.05,CA,1719747127
51,waitangi,-43.9535,-176.5597,7.12,68,7,2.63,NZ,1719747148
52,badger,64.8,-147.5333,18.73,73,0,0.45,US,1719747150
53,port augusta,-32.5,137.7667,8.44,64,6,3.49,AU,1719747152
54,grytviken,-54.2811,-36.5092,-9.47,88,68,3.96,GS,1719747153
55,longyearbyen,78.2186,15.6401,9.91,46,0,8.23,SJ,1719747088
56,lashkar gah,31.5938,64.3716,45.38,6,0,3.56,AF,1719747157
57,peace river,56.2501,-117.286,14.81,96,75,1.03,CA,1719747159
58,bilibino,68.0546,166.4372,13.39,86,90,1.36,RU,1719747161
59,howard springs,-12.497,131.047,26.95,82,91,3.22,AU,1719747164
60,olonkinbyen,70.9221,-8.7187,2.67,85,98,2.09,SJ,1719747166
61,mar del plata,-38.0023,-57.5575,3.38,77,0,3.09,AR,1719747167
62,punta arenas,-53.15,-70.9167,-0.94,100,40,4.12,CL,1719747170
63,talnakh,69.4865,88.3972,8.23,57,100,1.38,RU,1719747172
64,st. john's,47.5649,-52.7093,13.87,86,75,6.69,CA,1719747174
65,bereznik,62.8551,42.7072,27.4,35,37,4.24,RU,1719747176
66,ola,59.5833,151.2833,8.39,96,100,1.75,RU,1719747178
67,colonia,50.9333,6.95,22.38,78,75,3.6,DE,1719747181
68,karatau,43.1667,70.4667,33.13,17,1,8.94,KZ,1719747183
69,udachny,66.4167,112.4,12.08,64,93,6.52,RU,1719747185
70,vukovar,45.3433,18.9997,31.87,51,0,3.6,HR,1719747187
71,vorgashor,67.5833,63.95,9.84,81,98,6.03,RU,1719747189
72,molchanovo,57.5817,83.7692,26.61,43,30,5.46,RU,1719747191
73,karachev,53.1229,34.9852,29.28,44,36,0.87,RU,1719747193
74,west island,-12.1568,96.8225,26.99,78,40,7.72,CC,1719747195
